"year","name","tot","n.all","n.used","hi","lo","sd","board.rk"
2012,"Jamar Samuels",23,1,1,78,78,,103
2012,"Jordan Theodore",22,1,1,79,79,,104
2012,"Chace Stanback",20,1,1,81,81,,105
2012,"Josh Owens",18,1,1,83,83,,106
2012,"Greg Mangano",17,1,1,84,84,,107
2012,"Eli Holman",16,1,1,85,85,,108
2012,"Bradford Burgess",13,1,1,88,88,,109
2012,"Jet Chang",13,1,1,88,88,,109
2012,"Carlon Brown",12,1,1,89,89,,111
2012,"Negueba Samake",12,1,1,89,89,,111
2012,"Ashton Gibbs",11,2,2,94,97,2.12132034355964,113
2012,"Dion Dixon",10,1,1,91,91,,114
2012,"Kenny Frease",9,2,2,94,99,3.53553390593274,115
2012,"Darko Planinic",9,1,1,92,92,,115
2012,"Gerardo Suero",9,1,1,92,92,,115
2012,"Kent Bazemore",8,2,2,96,98,1.4142135623731,118
2012,"Andrew Albicy",8,1,1,93,93,,118
2012,"Gus Gilchrist",6,1,1,95,95,,120
2012,"Toure' Murry",5,1,1,96,96,,121
2012,"Larry Anderson",4,1,1,97,97,,122
2012,"Maik Zirbes",4,1,1,97,97,,122
2012,"Dario Hunt",3,1,1,98,98,,125
2012,"Kyle Fogg",2,1,1,99,99,,126
2012,"Mario Delas",2,1,1,99,99,,126
2012,"Chris Allen",1,1,1,100,100,,128
2012,"Nick Barbour",1,1,1,100,100,,128
2013,"C.J. Leslie",354,8,8,28,68,12.2175225452158,38
2013,"Jackie Carmichael",317,9,9,23,66,14.9666295470958,43
2013,"Myck Kabongo",309,8,8,25,85,19.6900083436099,44
2013,"Trevor Mbakwe",296,7,7,30,69,14.3742494628084,45
2013,"James Southerland",275,6,6,32,72,15.6044865343272,48
2013,"B.J. Young",264,6,6,44,73,10.633281086601,50
2013,"Phil Pressey",243,6,6,39,87,19.3640560489446,54
2013,"Robert Covington",240,5,5,39,69,14.6799182559032,55
2013,"Richard Howell",231,6,6,51,69,6.49358657959272,56
2013,"Brandon Paul",219,6,6,43,72,10.1472492167418,59
2013,"Brandon Davies",210,6,6,27,90,20.9348194801547,60
2013,"Kenny Kadji",209,7,6,35,112,25.3302003075192,61
2013,"D.J. Stephens",199,6,6,40,76,13.0140949230696,63
2013,"Adonis Thomas",165,6,5,55,119,23.5831861008361,69
2013,"Rodney Williams",154,6,5,46,117,26.9715899914459,70
2013,"Dewayne Dedmon",139,6,6,54,100,15.9426053914242,71
2013,"Vander Blue",137,6,6,63,94,10.968135666557,72
2013,"Michael Snaer",135,5,4,59,129,28.2718941707131,73
2013,"Seth Curry",129,6,6,70,86,5.84522597225006,74
2013,"Will Clyburn",129,5,5,45,90,21.487205495364,74
2013,"Elias Harris",127,5,5,50,92,16.8166584076623,76
2013,"Khalif Wyatt",127,5,5,48,89,16.1771443709945,76
2013,"Vitalis Chikoko",125,4,4,62,82,9.03234926989282,78
2013,"Matthew Dellavedova",107,4,3,45,113,29.375443259067,80
2013,"Christian Watford",105,6,6,61,99,15.8166578854911,82
2013,"Jack Cooley",92,4,4,70,91,9.76387901058454,84
2013,"Augusto Lima",81,4,3,71,115,20.6458228220626,86
2013,"Laurence Bowers",80,3,3,47,93,24.1936630821654,87
2013,"Ryan Broekhoff",73,3,3,58,96,19.0087699058443,88
2013,"Durand Scott",72,3,3,64,93,14.7309198626562,89
2013,"Amath M'Baye",70,4,4,65,94,13.832329280831,90
2013,"D.J. Cooper",69,3,3,50,95,24.4335834457412,92
2013,"Zeke Marshall",61,4,4,81,97,7.63216876123687,94
2013,"Will Cherry",53,3,3,77,91,7.09459888459759,95
2013,"Rodney McGruder",52,3,3,80,91,6.35085296108588,96
2013,"Anthony Marshall",47,3,3,82,87,2.88675134594813,97
2013,"Oleksandr Lypovyy",44,4,3,71,104,14.0801278403287,99
2013,"Daniel Theis",44,2,2,75,83,5.65685424949238,99
2013,"Elijah Johnson",43,5,4,78,124,17.3205080756888,101
2013,"Kevin Parrom",39,2,2,73,90,12.0208152801713,102
2013,"C.J. Aiken",33,4,4,85,99,7.32006375199925,103
2013,"Jamelle Hagins",32,2,2,84,86,1.4142135623731,104
2013,"Jared Berggren",31,1,1,70,70,,105
2013,"Kenny Boynton",30,3,2,75,125,25.0599281722833,106
2013,"Maurice Kemp",30,1,1,71,71,,106
2013,"Stan Okoye",29,1,1,72,72,,108
2013,"Dejan Musli",25,1,1,76,76,,109
2013,"Jordan Aboudou",25,1,1,76,76,,109
2013,"Gregory Echenique",24,1,1,77,77,,111
2013,"Ed Daniel",22,2,2,81,99,12.7279220613579,113
2013,"Alexandre Paranhos",21,3,2,88,105,8.73689494805411,114
