"id","Player","start","end","seasons","G","WS","All.NBA.tot","All NBA-1","All NBA-2","All NBA-3","AS NBA","bs.rk","slam.rk","missed","First","Quarters","Semis","Finals","Champ","closest.series.cnt","games.away.min","closest.lab","simp.lab"
"coxch01","Chubby Cox",1983,1983,1,7,-0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"coxjo01","Johnny Cox",1963,1963,1,73,0.5,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"coxwe01","Wesley Cox",1978,1979,2,74,0.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"crabbal01","Allen Crabbe",2014,2019,6,344,13.9,0,0,0,0,0,,,3,2,1,0,0,0,1,3,"2016: Golden State Warriors (4) - Portland Trail Blazers (1)","2016: Golden State Warriors"
"craigto01","Torrey Craig",2018,2019,2,114,3.9,0,0,0,0,0,,,1,0,1,0,0,0,1,1,"2019: Portland Trail Blazers (4) - Denver Nuggets (3)","2019: Portland Trail Blazers"
"crawfch01","Chris Crawford",1998,2004,7,252,6.4,0,0,0,0,0,,,5,1,1,0,0,0,1,4,"1999: New York Knicks (4) - Atlanta Hawks (0)","1999: New York Knicks"
"crawffr01","Freddie Crawford",1967,1971,5,297,6,0,0,0,0,0,,,0,0,2,1,2,0,1,1,"1969: Boston Celtics (4) - Los Angeles Lakers (3)","1969: Boston Celtics"
"crawfja01","Jamal Crawford",2001,2019,19,1326,60.7,0,0,0,0,0,,440,11,4,4,0,0,0,1,1,"2015: Houston Rockets (4) - Los Angeles Clippers (3)","2015: Houston Rockets"
"crawfjo01","Joe Crawford",2009,2009,1,2,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crawfjo02","Jordan Crawford",2011,2018,6,281,6.3,0,0,0,0,0,,,3,2,1,0,0,0,1,3,"2018: Golden State Warriors (4) - New Orleans Pelicans (1)","2018: Golden State Warriors"
"creekmi01","Mitch Creek",2019,2019,1,5,0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"creigji01","Jim Creighton",1976,1976,1,32,-0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"creviro01","Ron Crevier",1986,1986,1,3,-0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crislha01","Hal Crisler",1947,1947,1,4,0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crispjo01","Joe Crispin",2002,2002,1,21,0.4,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crissch01","Charlie Criss",1978,1985,8,418,13.7,0,0,0,0,0,,,4,1,2,1,0,0,1,3,"1983: Philadelphia 76ers (4) - Milwaukee Bucks (1)","1983: Philadelphia 76ers"
"critewi01","Winston Crite",1988,1989,2,31,0,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"crittja01","Javaris Crittenton",2008,2009,2,113,0.1,0,0,0,0,0,,,2,0,0,0,0,0,,,,
"crockdi01","Dillard Crocker",1949,1953,4,154,1.8,0,0,0,0,0,,,4,0,0,0,0,0,,,,
"crompge01","Geoff Crompton",1979,1984,5,82,0,0,0,0,0,0,,,5,0,0,0,0,0,,,,
"crosbte01","Terry Crosby",1980,1980,1,4,0,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"croshau01","Austin Croshere",1998,2009,12,659,27.6,0,0,0,0,0,,,3,5,1,2,1,0,1,2,"2000: Los Angeles Lakers (4) - Indiana Pacers (2)","2000: Los Angeles Lakers"
"crossch01","Chink Crossin",1948,1950,3,147,3.8,0,0,0,0,0,,,0,1,1,0,1,0,1,2,"1948: Baltimore Bullets (4) - Philadelphia Warriors (2)","1948: Baltimore Bullets"
"crossje01","Jeff Cross",1986,1986,1,21,-0.1,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crosspe01","Pete Cross",1971,1973,3,182,4.2,0,0,0,0,0,,,3,0,0,0,0,0,,,,
"crossru01","Russell Cross",1984,1984,1,45,0.8,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"crottjo01","John Crotty",1993,2003,11,477,12.1,0,0,0,0,0,,,4,5,0,2,0,0,2,3,"1994: Houston Rockets (4) - Utah Jazz (1) / 1997: Chicago Bulls (4) - Miami Heat (1)","1994: Houston Rockets / 1997: Chicago Bulls"
"crowdco01","Corey Crowder",1992,1995,2,58,0.3,0,0,0,0,0,,,1,0,0,1,0,0,1,2,"1992: Portland Trail Blazers (4) - Utah Jazz (2)","1992: Portland Trail Blazers"
"crowdja01","Jae Crowder",2013,2019,7,543,28.7,0,0,0,0,0,,,1,4,1,1,0,0,1,3,"2017: Cleveland Cavaliers (4) - Boston Celtics (1)","2017: Cleveland Cavaliers"
"crowma01","Mark Crow",1978,1978,1,15,0.2,0,0,0,0,0,,,1,0,0,0,0,0,,,,
"cummipa01","Pat Cummings",1980,1991,12,683,22.5,0,0,0,0,0,,,7,1,4,0,0,0,2,1,"1980: Seattle SuperSonics (4) - Milwaukee Bucks (3) / 1981: Philadelphia 76ers (4) - Milwaukee Bucks (3)","1980: Seattle SuperSonics / 1981: Philadelphia 76ers"
